timestamp,cpu_percent_mean,memory_percent_mean,memory_used_mean,gpu_utilization_mean,gpu_memory_used_mean,gpu_memory_free_mean,gpu_memory_total_mean
2025-03-18 20:24:40,18.5,61.7,8.637645721435547,0.0,11748.4375,10825.6875,23034.0
2025-03-18 20:24:45,23.623460524433373,61.61743808536598,8.625439497063772,43.52955234796719,12031.16569591412,10542.95929422101,23034.0
2025-03-18 20:24:50,24.646366060771665,61.55979565734502,8.617043552909347,43.98194111069752,12052.404886619193,10521.72011088885,23034.0
2025-03-18 20:24:55,25.03233899970919,61.53996897882839,8.61340790575172,43.91269256610578,12065.333703705526,10508.79128932148,23034.0
2025-03-18 20:25:00,25.212358774799515,61.529944262878914,8.611547626542176,43.90061069919313,12087.682033100478,10486.442963284362,23034.0
2025-03-18 20:25:05,25.713684013535573,61.53822853901007,8.612797877074923,44.09071265164826,12100.85996685096,10473.265030649316,23034.0
2025-03-18 20:25:10,25.71532264531242,61.54850696284869,8.613897630105251,45.0074714302883,12109.774970074606,10464.350027639079,23034.0
2025-03-18 20:25:15,25.743756789921058,61.55425570901195,8.614298872396827,45.15064765163949,12116.338120276527,10457.78687842032,23034.0
2025-03-18 20:25:20,25.767417756189058,61.54748703743071,8.612764081390333,45.312246714342116,12121.340717518493,10452.78428146569,23034.0
2025-03-18 20:25:25,26.397574433674816,61.53089206492792,8.610440416993619,45.51357233980171,12125.23235972303,10448.892639148557,23034.0
2025-03-18 20:25:30,26.808556302764593,61.507870425325514,8.607235963931856,45.7119959520814,12128.343739786222,10445.781259540461,23034.0
2025-03-18 20:25:35,26.748085491903765,61.48898951327413,8.604688096499716,45.76956709415819,12130.89550136339,10443.229498112501,23033.999999999996
2025-03-18 20:25:40,27.024798187336934,61.47839969610698,8.603387285800785,45.628063875637295,12133.020043777244,10441.104955610674,23033.999999999996
2025-03-18 20:25:45,27.005338917811216,61.48005866941365,8.6036892500884,45.87410401426776,12134.818579777062,10439.306419714552,23034.000000000004
2025-03-18 20:25:50,26.945734895927092,61.481482361316274,8.60400923068624,46.06986475941234,12136.362041449747,10437.762958097559,23034.0
2025-03-18 20:25:55,26.89275958215454,61.482714428982774,8.604333126228289,45.96764589162124,12137.697757497315,10436.427242213073,23034.0
2025-03-18 20:26:00,26.839437553776975,61.483794766277214,8.604629733359173,45.85191810831183,12138.868979464454,10435.256020267849,23034.0
2025-03-18 20:26:05,26.807836766625545,61.484746752681204,8.6048899342065,46.097942713821716,12139.901053423113,10434.2239462812,23033.999999999996
2025-03-18 20:26:10,26.776458331249582,61.48559420135857,8.605156464807756,45.856714499159274,12140.819794686968,10433.305205037317,23034.0
2025-03-18 20:26:15,26.936170184471436,61.48157797103247,8.60494112977426,46.02263798282155,12141.641384567141,10432.483615179162,23034.0
2025-03-18 20:26:20,27.041993036534304,61.490576690660525,8.606433504001958,45.98287262372109,12142.380632299888,10431.744367489257,23034.000000000004
2025-03-18 20:26:25,27.014250469761475,61.492426326391254,8.606720767826713,45.832669298981806,12143.049439294022,10431.075560482992,23033.999999999993
2025-03-18 20:26:30,26.99729215926589,61.49277048593108,8.606643060161897,45.836729025839766,12143.65781323232,10430.467186634154,23033.99999999999
2025-03-18 20:26:35,26.972520243761952,61.490017715852595,8.606401032120473,45.998574962188044,12144.213215056796,10429.911784822094,23033.999999999993
2025-03-18 20:26:40,26.94078025261846,61.48627049414394,8.606119937868835,46.00881365904858,12144.722082659793,10429.402917226047,23033.999999999993
2025-03-18 20:26:45,26.983225596313353,61.484835002465125,8.60597678366538,45.94137087814333,12145.190089709224,10428.934910177457,23033.999999999996
2025-03-18 20:26:50,26.98831807200235,61.48617268103771,8.60611612344422,46.10392500769809,12145.622319333635,10428.502680569904,23034.0
2025-03-18 20:26:55,26.97056655725012,61.48408235420399,8.606017456372395,46.20660686495109,12146.023167938485,10428.101831936532,23033.999999999993
2025-03-18 20:27:00,26.936542748356825,61.48108388016861,8.60580864531026,46.18826331184794,12146.394554818702,10427.730445096688,23033.999999999993
2025-03-18 20:27:05,26.923573371075094,61.47828776300452,8.605640941583337,46.1990931688296,12146.740878312792,10427.384121609675,23033.99999999999
2025-03-18 20:27:10,26.90079320498646,61.47567975809691,8.60547303720335,46.19365562010882,12147.063902383159,10427.06109754126,23033.99999999999
2025-03-18 20:27:15,26.87523212891656,61.47323696210282,8.605333558470361,46.162095325563556,12147.366464099392,10426.758535804674,23033.99999999999
2025-03-18 20:27:20,26.87112607544273,61.473145932916594,8.60530661044844,46.26107537169614,12147.649426770324,10426.475573168185,23033.99999999999
2025-03-18 20:27:25,26.870156582586343,61.473960695044866,8.60546760332526,46.376786283924815,12147.916060088104,10426.208939850982,23033.99999999999
2025-03-18 20:27:30,28.114094459903676,61.49357946020842,8.60849841604863,45.80206851344656,12148.168025546318,10425.956974360824,23033.99999999999
2025-03-18 20:27:35,29.582553342800065,61.17601118669868,8.565274614807217,45.49558587655563,12010.671258295424,10563.453789025232,23033.99999999999
2025-03-18 20:27:40,29.53136400807574,60.809544562030226,8.5157501236543,45.48723918437328,11823.908813604456,10750.216245677946,23033.999999999993
2025-03-18 20:27:45,29.514241521892583,60.45522650038083,8.467756841557783,45.53255005937248,11646.912986934,10927.212055413373,23033.999999999993
2025-03-18 20:27:50,29.471223562231884,60.121083351017695,8.42242924671299,45.574798783300395,11479.207472427199,11094.91756572915,23033.99999999999
2025-03-18 20:27:55,29.43786786498817,59.779919424844365,8.375909828629629,45.515095476870975,11320.267629173637,11253.857418891204,23033.999999999993
